ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points,rank_6m,percentile_6m,rank_1y,percentile_1y,quality_score,base_name
019624.OF,泉果嘉源三年持有A,混合型,混合型-偏股,-3.87,-5.73,-2.27,10.79,10.1,-0.4,455,4316.0,17.30548102721349,4674.0,10.58170685036357,52.5,泉果嘉源
018329.OF,泉果思源三年持有A,混合型,混合型-偏股,-3.37,-6.32,-0.62,14.43,13.79,-0.18,455,4425.0,15.216558068225371,4412.0,15.595101415996936,52.7,泉果思源
016709.OF,泉果旭源三年持有A,混合型,混合型-偏股,-4.84,-5.59,1.5,18.52,19.21,-0.03,455,4278.0,18.03372939823688,3370.0,35.53386911595867,53.5,泉果旭源
022508.OF,泉果消费机遇C,混合型,混合型-偏股,-2.72,-2.77,1.88,14.97,9.1,-0.01,211,3451.0,33.8827136834036,3132.0,40.08802143130501,61.9,泉果消费机遇
023939.OF,泉果研究精选A,混合型,混合型-偏股,-3.5,-4.99,1.07,8.25,6.92,-0.11,278,4153.0,20.429283250287465,3642.0,30.3291236127057,58.3,泉果研究精选
024114.OF,泓德丰泽C,灵活配置型,混合型-平衡,-5.96,-5.44,-2.16,9.19,13.71,-0.45,396,387.0,18.39323467230444,423.0,10.782241014799157,48.9,泓德丰泽
013861.OF,泓德产业升级A,混合型,混合型-偏股,-0.21,-2.75,6.03,16.57,13.89,0.24,455,3441.0,34.07435799156765,1589.0,69.61347110600842,59.5,泓德产业升级
011530.OF,泓德优质治理灵活配置,灵活配置型,混合型-平衡,0.43,0.7,7.94,9.48,9.44,0.63,455,129.0,72.93868921775899,141.0,70.40169133192389,72.1,泓德优质治理灵活配置
012481.OF,泓德医疗创新A,混合型,混合型-偏股,1.56,-4.1,7.07,23.7,20.03,0.21,446,3918.0,24.932924492142583,1378.0,73.65097588978186,52.6,泓德医疗创新
022547.OF,泓德悦享一年持有A,混合型,混合型-偏股,-0.04,0.45,1.33,1.41,0.88,-0.47,398,1278.0,75.52702184745112,3466.0,33.69690011481056,57.7,泓德悦享
011781.OF,泓德慧享A,混合型,混合型-偏股,0.02,0.58,3.28,3.08,2.17,0.42,455,1195.0,77.11766960521273,2489.0,52.391886720244926,65.4,泓德慧享
