ts_code,name,invest_type,category,fund_scale,scale_status,return_3m,return_6m,return_1y,quality_score,percentile_6m,percentile_1y,stock_ratio_4q_avg,is_core,is_watch,is_backup
011419.OF,汇添富消费精选两年持有C,股票型,主动股票型,1.498163357133191,watch,-5.66,-5.76,-6.78,46.4,28.20069204152249,6.57439446366782,,False,False,True
011927.OF,博时汇誉回报A,灵活配置型,混合型-偏股,2.835540685354986,watch,-0.72,-0.54,-4.56,42.9,53.06553911205074,5.708245243128962,79.53750000000001,False,False,True
011856.OF,安信均衡成长18个月持有A,混合型,混合型-偏股,117.46311008159694,watch,-4.72,-4.37,-3.51,46.8,23.802223073974705,8.075009567546875,,False,False,True
004658.OF,金鹰民富收益C,混合型,混合型-偏股,312.19658742437986,watch,-0.81,-3.17,-2.66,48.1,30.452280567267152,9.54841178721776,,False,False,True
011598.OF,信澳医药健康A,混合型,混合型-偏股,4.436270481235993,watch,-8.45,-8.52,4.16,53.4,8.719816021464165,58.41944125526215,,False,False,True
011002.OF,同泰大健康主题A,混合型,混合型-偏股,2.7188679327920524,watch,-2.06,-5.77,-7.84,32.1,17.133001149865844,2.238805970149249,,False,False,True
010676.OF,光大新机遇A,混合型,混合型-偏股,2.3212131020721656,watch,-7.24,-13.03,0.46,52.7,1.8206209275584475,22.80903176425565,,False,False,True
011601.OF,前海开源公共卫生主题精选A,股票型,主动股票型,4.084608541234672,watch,-7.07,-8.7,-3.71,41.3,15.22491349480969,14.18685121107266,,False,False,True
011827.OF,汇添富健康生活一年持有C,混合型,混合型-偏股,1.748291916229375,watch,-7.98,-7.46,-8.66,32.6,11.556151782292067,1.4351320321469574,,False,False,True
011826.OF,汇添富健康生活一年持有A,混合型,混合型-偏股,2.0656964869958707,watch,-7.95,-7.41,-8.58,32.6,11.74779609045611,1.4734022196708718,,False,False,True
011871.OF,前海开源沪港深优势精选C,灵活配置型,混合型-偏股,4.477111936526405,watch,-6.35,-10.83,-5.51,45.9,5.073995771670193,3.8054968287526414,88.0075,False,False,True
011550.OF,湘财创新成长一年持有A,混合型,混合型-偏股,2.273012140826016,watch,-2.15,-7.04,5.37,54.0,12.974319662706012,65.82472254114045,,False,False,True
011502.OF,方正富邦汇福一年定开C,灵活配置型,混合型-偏股,1.9653215081397264,watch,-1.99,-5.49,3.12,55.6,17.758985200845668,45.45454545454546,77.46,False,False,True
011160.OF,富国质量成长6个月持有A,混合型,混合型-偏股,4.1694406452215365,watch,0.1,-6.24,1.44,48.9,15.48486009965504,34.78760045924225,,False,False,True
010912.OF,国泰成长价值A,混合型,混合型-偏股,1.286429350595249,watch,-4.17,-12.08,-2.94,44.7,2.5680337293982336,8.859548411787221,,False,False,True
010732.OF,广发创新医疗两年持有C,混合型,混合型-偏股,3.8188820822268736,watch,-6.67,-8.65,8.85,53.8,8.279034112686857,79.67853042479909,,False,False,True
011153.OF,华宝新兴消费A,混合型,混合型-偏股,2.026464449775345,watch,-5.92,-4.0,-7.86,41.0,25.69950172479878,2.219670876387292,,False,False,True
011487.OF,博时创新精选C,混合型,混合型-偏股,3.6767597796254954,watch,-0.43,-6.49,0.83,46.0,14.81410502108087,27.40145426712592,,False,False,True
011567.OF,富国消费升级C,混合型,混合型-偏股,3.199844996760949,watch,-4.12,-5.74,0.09,54.4,17.26715216558068,19.651741293532343,,False,False,True
011466.OF,兴业医疗保健A,混合型,混合型-偏股,3.78215874,watch,-4.52,-5.47,1.7,57.4,18.35952472211575,37.88748564867967,,False,False,True
011173.OF,银华心享一年持有,混合型,混合型-偏股,1.9980249422789125,watch,-5.2,-5.08,-1.8,50.1,19.873514756611733,11.748947569843091,,False,False,True
