ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points
020810.OF,泰康悦享60天持有E,债券型,债券型-主动,0.12,0.34,0.63,0.27,0.17,-5.03,455
020808.OF,泰康悦享60天持有C,债券型,债券型-主动,0.11,0.33,0.61,0.27,0.17,-5.06,455
021955.OF,金鹰添盈纯债E,债券型,债券型-主动,0.12,0.29,0.38,0.55,0.71,-2.93,455
020807.OF,泰康悦享60天持有A,债券型,债券型-主动,0.12,0.35,0.65,0.3,0.16,-4.56,455
021954.OF,金鹰添盈纯债D,债券型,债券型-主动,0.13,0.32,0.42,0.56,0.68,-2.83,455
021578.OF,建信鑫益90天持有A,债券型,债券型-主动,0.16,0.42,0.73,0.49,0.44,-2.61,455
021242.OF,永赢逸享C,债券型,债券型-主动,-0.11,0.36,1.55,1.68,1.28,-0.27,455
021241.OF,永赢逸享A,债券型,债券型-主动,-0.08,0.4,1.63,1.69,1.26,-0.22,455
021579.OF,建信鑫益90天持有C,债券型,债券型-主动,0.15,0.39,0.68,0.49,0.48,-2.7,455
021930.OF,建信纯债F,债券型,债券型-主动,0.17,0.34,0.59,0.45,0.61,-3.13,455
021921.OF,汇泉安阳纯债D,债券型,债券型-主动,0.18,0.04,0.17,4.96,8.29,-0.37,329
020950.OF,信澳臻享A,债券型,债券型-主动,0.12,0.23,0.47,0.57,0.39,-2.7,455
020951.OF,信澳臻享C,债券型,债券型-主动,0.11,0.21,0.43,0.57,0.41,-2.77,455
021196.OF,信澳鑫泰6个月持有A,债券型,债券型-主动,-0.39,-0.97,0.92,2.68,1.88,-0.4,455
021906.OF,汇添富安心中国D,债券型,债券型-主动,0.14,0.27,0.31,4.79,9.9,-0.35,455
021197.OF,信澳鑫泰6个月持有C,债券型,债券型-主动,-0.41,-1.01,0.84,2.67,1.9,-0.43,455
020611.OF,东吴恒益纯债A,债券型,债券型-主动,0.15,0.3,0.49,0.73,0.67,-2.06,455
020612.OF,东吴恒益纯债C,债券型,债券型-主动,0.16,0.3,0.48,0.74,0.72,-2.07,455
021670.OF,金元顺安乾盛利率债,债券型,债券型-主动,0.15,0.43,0.52,0.87,1.26,-1.71,455
021912.OF,德邦新添利E,债券型,债券型-主动,0.16,0.08,0.72,1.82,1.85,-0.7,456
021917.OF,富荣富兴纯债C,债券型,债券型-主动,0.08,0.21,0.12,3.48,4.61,-0.54,455
021429.OF,中泰安弘A,债券型,债券型-主动,0.2,0.38,0.66,0.89,0.58,-1.51,455
021676.OF,平安双季鑫6个月持有C,债券型,债券型-主动,0.19,0.22,0.44,0.53,0.7,-2.92,455
020814.OF,鑫元佳享120天持有C,债券型,债券型-主动,0.09,0.14,0.33,0.46,0.12,-3.64,455
021675.OF,平安双季鑫6个月持有A,债券型,债券型-主动,0.19,0.25,0.49,0.53,0.69,-2.85,455
020813.OF,鑫元佳享120天持有A,债券型,债券型-主动,0.1,0.15,0.35,0.46,0.12,-3.6,455
021901.OF,平安惠轩C,债券型,债券型-主动,,,-0.07,1.18,1.02,-1.75,454
021805.OF,财通资管睿丰C,债券型,债券型-主动,0.07,0.1,0.08,2.1,3.88,-0.91,455
020934.OF,南方尊享稳健增利C,债券型,债券型-主动,-0.01,0.13,1.43,1.83,1.36,-0.31,455
021897.OF,广发景兴中短债E,债券型,债券型-主动,0.12,0.23,0.35,3.43,5.33,-0.48,455
020933.OF,南方尊享稳健增利A,债券型,债券型-主动,,0.16,1.49,1.82,1.35,-0.28,455
021804.OF,财通资管睿丰A,债券型,债券型-主动,0.08,0.11,0.1,2.11,3.83,-0.9,455
021791.OF,华宝宝嘉30天持有C,债券型,债券型-主动,0.1,0.17,0.23,0.34,0.39,-5.14,455
