ts_code,name,invest_type,category
018790.OF,华泰柏瑞均衡成长A,混合型,混合型-偏股
019117.OF,国泰央企改革C,股票型,主动股票型
019148.OF,富国腾享回报6个月滚动持有E,混合型,混合型-偏股
017464.OF,长江楚财一年持有A,混合型,混合型-偏股
017465.OF,长江楚财一年持有C,混合型,混合型-偏股
018754.OF,兴业均衡优选A,混合型,混合型-偏股
018681.OF,国联安气候变化责任投资C,混合型,混合型-偏股
019012.OF,富国鑫汇养老目标日期2045五年持有Y,混合型,混合型-偏股
019077.OF,万家颐达C,灵活配置型,混合型-平衡
018755.OF,兴业均衡优选C,混合型,混合型-偏股
019007.OF,蜂巢先进制造C,混合型,混合型-偏股
019006.OF,蜂巢先进制造A,混合型,混合型-偏股
019053.OF,华商元亨C,灵活配置型,混合型-平衡
018270.OF,富国鑫旺积极养老目标五年持有A,混合型,混合型-偏股
017549.OF,平安策略回报A,混合型,混合型-偏股
017454.OF,国泰慧益一年持有A,混合型,混合型-偏股
017550.OF,平安策略回报C,混合型,混合型-偏股
018547.OF,金鹰产业智选一年持有A,混合型,混合型-偏股
018548.OF,金鹰产业智选一年持有C,混合型,混合型-偏股
017455.OF,国泰慧益一年持有C,混合型,混合型-偏股
019073.OF,建信鑫利C,灵活配置型,混合型-平衡
019089.OF,华润元大信息传媒科技C,混合型,混合型-偏股
018715.OF,平安新鑫优选C,混合型,混合型-偏股
018714.OF,平安新鑫优选A,混合型,混合型-偏股
018886.OF,东海数字经济A,混合型,混合型-偏股
018887.OF,东海数字经济C,混合型,混合型-偏股
018711.OF,华泰柏瑞祥泰稳健养老目标一年持有A,混合型,混合型-偏股
018328.OF,太平低碳经济C,混合型,混合型-偏股
018327.OF,太平低碳经济A,混合型,混合型-偏股
019065.OF,安信浩盈6个月持有C,混合型,混合型-偏股
019093.OF,金鹰科技创新C,股票型,主动股票型
017912.OF,华夏稳进增益一年持有A,混合型,混合型-偏股
017913.OF,华夏稳进增益一年持有C,混合型,混合型-偏股
