ts_code,name,invest_type,category,fund_scale,scale_status,return_3m,return_6m,return_1y,quality_score,percentile_6m,percentile_1y,stock_ratio_4q_avg,is_core,is_watch,is_backup
021512.OF,景顺长城支柱产业C,混合型,混合型-偏股,6.287585541893032,preferred,0.76,4.79,14.8,79.2,94.53813721732465,92.97742058936088,,False,True,False
021526.OF,南华丰汇C,混合型,混合型-偏股,9.932164726805633,preferred,-0.25,-2.49,9.69,75.4,36.31659639708701,82.16609261385382,,False,True,False
021334.OF,信澳国企智选C,混合型,混合型-偏股,13.545958857575645,preferred,0.85,1.22,8.33,73.6,82.36872364890763,77.74588595484117,,False,True,False
019961.OF,富国远见价值C,混合型,混合型-偏股,71.73911223462763,normal,0.56,3.63,9.22,73.8,92.56420084323496,80.88404133180252,,False,True,False
019960.OF,富国远见价值A,混合型,混合型-偏股,9.656281622014047,preferred,0.6,3.71,9.35,74.1,92.85166730548102,81.24760811327975,,False,True,False
021333.OF,信澳国企智选A,混合型,混合型-偏股,5.1542066952459855,preferred,0.88,1.29,8.46,74.0,82.96282100421617,78.35820895522389,,False,True,False
017292.OF,申万菱信红利量化选股A,股票型,主动股票型,74.89893652996693,normal,0.51,0.5,8.12,78.9,74.39446366782008,65.39792387543253,,False,True,False
017293.OF,申万菱信红利量化选股C,股票型,主动股票型,25.97083094398752,preferred,0.22,0.2,7.77,77.6,72.31833910034602,64.18685121107266,,False,True,False
021181.OF,中欧价值精选A,混合型,混合型-偏股,1.459177267280794,watch,-0.04,-0.61,9.82,76.3,55.92180912226908,82.58706467661692,,False,True,False
020804.OF,东方红量化选股C,混合型,混合型-偏股,17.953790400612192,preferred,0.47,-0.18,9.45,71.7,63.51092372556535,81.4580941446613,,False,True,False
020803.OF,东方红量化选股A,混合型,混合型-偏股,10.204990817338883,preferred,0.49,-0.12,9.55,72.0,64.77577615944806,81.82166092613853,,False,True,False
021182.OF,中欧价值精选C,混合型,混合型-偏股,1.7974272183020623,watch,-0.06,-0.66,9.73,76.0,55.15523188961288,82.28090317642557,,False,True,False
021495.OF,华夏养老2060五年持有Y,混合型,混合型-偏股,2.99247198643388,watch,0.82,0.88,9.29,73.5,79.72403219624378,81.0371220818982,,False,True,False
018706.OF,兴银先进制造智选A,混合型,混合型-偏股,21.38156510948274,preferred,1.21,2.22,11.9,75.2,88.2522039095439,87.79181017986988,,False,True,False
018707.OF,兴银先进制造智选C,混合型,混合型-偏股,3.676412722102129,watch,1.18,2.17,11.81,75.1,87.98390187811422,87.54305396096441,,False,True,False
019430.OF,国联安价值甄选,混合型,混合型-偏股,17.499114502346877,preferred,2.03,1.39,12.18,78.9,83.69106937523955,88.57634902411023,,False,True,False
020443.OF,易米远见价值一年定开C,混合型,混合型-偏股,13.202271005559444,preferred,20.64,29.75,30.43,80.7,99.94250670755078,99.54075774971297,,False,True,False
020442.OF,易米远见价值一年定开A,混合型,混合型-偏股,6.456819035684437,preferred,20.74,29.91,30.76,80.9,99.9616711383672,99.5790279372369,,False,True,False
020236.OF,施罗德中国动力A,股票型,主动股票型,17.32706133892304,preferred,0.07,0.85,15.09,75.2,76.47058823529412,89.10034602076125,,False,True,False
020237.OF,施罗德中国动力C,股票型,主动股票型,11.672436657950676,preferred,0.04,0.81,14.97,74.9,76.29757785467129,88.92733564013841,,False,True,False
020775.OF,国寿安保产业升级A,股票型,主动股票型,4.669115213809756,watch,5.67,9.36,31.75,83.1,99.1349480968858,100.0,,False,True,False
020774.OF,国寿安保产业升级C,股票型,主动股票型,14.114524579354107,preferred,5.64,9.3,31.61,82.9,98.96193771626297,99.82698961937716,,False,True,False
021218.OF,中邮核心优势C,灵活配置型,混合型-偏股,8.583368858619373,preferred,2.14,0.21,14.88,76.8,66.17336152219873,90.69767441860466,60.18,False,True,False
019190.OF,华商品质价值C,混合型,混合型-偏股,562.1277186246189,watch,0.21,8.13,13.55,73.0,97.75776159448064,91.14045158821278,,False,True,False
019189.OF,华商品质价值A,混合型,混合型-偏股,17.435415130744023,preferred,0.26,8.22,13.71,73.4,97.87274817937907,91.52315346345196,,False,True,False
021123.OF,华夏养老2060五年持有A,混合型,混合型-偏股,56.66856422143603,normal,0.78,0.82,9.18,73.1,79.12993484093522,80.75009567546881,,False,True,False
