ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points
019699.OF,招商安泽稳利9个月持有C,混合型,混合型-偏股,-0.54,-0.14,3.7,4.39,4.94,0.39,455
019797.OF,银河国企主题A,混合型,混合型-偏股,-2.13,-1.87,5.78,12.47,9.45,0.3,455
019676.OF,太平福安稳健养老一年持有A,混合型,混合型-偏股,0.13,0.62,1.09,2.75,2.48,-0.33,440
019076.OF,嘉实全球产业精选美元,混合型,混合型-偏股,-0.9,1.3,11.08,17.75,19.88,0.51,444
019243.OF,汇丰晋信大盘C,稳健增长型,主动股票型,-2.15,-0.14,7.68,11.94,11.95,0.48,455
019075.OF,嘉实全球产业精选,混合型,混合型-偏股,-1.54,-0.15,8.68,17.68,19.54,0.38,444
019776.OF,鹏华产业精选C,灵活配置型,混合型-平衡,-1.8,-3.27,11.54,14.92,8.8,0.64,455
019747.OF,华西优选价值A,混合型,混合型-偏股,-0.73,-3.61,1.32,19.88,19.7,-0.03,455
019902.OF,国寿安保先进制造A,股票型,主动股票型,-1.59,-9.53,9.14,22.74,24.45,0.31,454
019903.OF,国寿安保先进制造C,股票型,主动股票型,-1.61,-9.58,9.03,22.74,24.47,0.31,454
019951.OF,融通消费升级C,混合型,混合型-偏股,-8.42,-9.58,-4.71,13.61,15.11,-0.49,454
019971.OF,融通蓝筹成长C,平衡型,混合型-平衡,-0.8,0.19,6.48,10.61,8.48,0.42,454
018274.OF,嘉实民康平衡养老目标三年持有,混合型,混合型-偏股,-1.51,-1.12,3.63,7.98,7.22,0.2,440
015976.OF,光大数字经济A,混合型,混合型-偏股,-5.43,-10.57,-5.3,14.35,14.15,-0.51,455
019978.OF,融通动力先锋C,混合型,混合型-偏股,-1.25,-0.06,8.76,12.88,10.21,0.52,454
015977.OF,光大数字经济C,混合型,混合型-偏股,-5.46,-10.63,-5.39,14.35,14.3,-0.51,455
