ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points,rank_6m,percentile_6m,rank_1y,percentile_1y,quality_score,veto_reason
021636.OF,长城周期优选A,混合型,混合型-偏股,3.09,8.06,32.81,22.58,12.42,1.36,455,122.0,97.68110387121503,18.0,99.67470340604669,90.4,
018221.OF,广发品质优选C,混合型,混合型-偏股,1.6,4.87,28.83,21.05,14.16,1.27,455,274.0,94.76811038712151,29.0,99.46421737466513,89.0,
018220.OF,广发品质优选A,混合型,混合型-偏股,1.57,4.87,28.88,21.05,14.14,1.28,455,275.0,94.74894595630509,28.0,99.4833524684271,89.1,
021694.OF,银华抗通胀主题C,主题型,混合型-偏股,4.58,6.04,13.08,13.55,10.74,0.82,437,195.0,96.28210042161747,506.0,90.3367776502105,80.5,
020775.OF,国寿安保产业升级A,股票型,主动股票型,5.67,9.36,31.75,20.95,20.95,1.42,455,6.0,99.13494809688581,1.0,100.0,83.1,
020774.OF,国寿安保产业升级C,股票型,主动股票型,5.64,9.3,31.61,20.94,20.97,1.41,455,7.0,98.96193771626297,2.0,99.82698961937716,82.9,
019337.OF,万家国企动力C,混合型,混合型-偏股,3.56,7.85,24.15,20.89,13.21,1.06,455,127.0,97.585281717133,83.0,98.43092231151932,86.7,
019336.OF,万家国企动力A,混合型,混合型-偏股,3.61,7.92,24.25,20.9,13.19,1.06,455,125.0,97.6236105787658,82.0,98.45005740528129,86.7,
020151.OF,中信保诚景气优选A,混合型,混合型-偏股,0.48,3.07,14.63,11.3,7.97,1.12,455,470.0,91.01188194710616,387.0,92.61385380788366,89.3,
020152.OF,中信保诚景气优选C,混合型,混合型-偏股,0.44,3.0,14.49,11.3,8.02,1.11,455,475.0,90.91605979302415,392.0,92.51817833907387,89.0,
020360.OF,中海混改红利主题C,灵活配置型,混合型-平衡,4.18,5.72,32.27,20.41,14.53,1.48,455,28.0,94.29175475687104,4.0,99.36575052854123,91.1,
018750.OF,山证资管精选行业A,混合型,混合型-偏股,7.46,5.97,32.36,21.52,20.21,1.41,455,200.0,96.18627826753546,20.0,99.63643321852277,83.6,
018751.OF,山证资管精选行业C,混合型,混合型-偏股,7.58,6.86,33.75,21.48,19.7,1.48,455,163.0,96.89536220774244,11.0,99.80864906238041,85.3,
020199.OF,万家双引擎C,灵活配置型,混合型-平衡,7.01,10.07,32.85,20.58,12.38,1.5,455,10.0,98.09725158562368,3.0,99.57716701902748,92.9,
019821.OF,鹏华远见精选C,混合型,混合型-偏股,8.55,11.23,26.76,23.06,15.84,1.07,455,55.0,98.96512073591414,47.0,99.11978568694987,83.1,
