ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points,rank_6m,percentile_6m,rank_1y,percentile_1y,quality_score,veto_reason
012098.OF,华夏成长机会一年持有,混合型,混合型-偏股,-1.03,2.54,21.46,20.16,19.22,0.97,455,560.0,89.28708317362974,115.0,97.81859931113662,77.7,
013157.OF,前海开源新经济C,灵活配置型,混合型-平衡,0.44,4.41,15.88,17.46,17.51,0.79,455,43.0,91.12050739957716,38.0,92.17758985200844,73.5,
011574.OF,鹏华领航一年持有A,混合型,混合型-偏股,0.28,1.09,15.58,15.63,14.12,0.87,455,967.0,81.48715983135301,307.0,94.1446613088404,78.9,
011575.OF,鹏华领航一年持有C,混合型,混合型-偏股,0.23,0.99,15.39,15.62,14.16,0.86,455,1009.0,80.68225373706402,319.0,93.9150401836969,78.6,
011765.OF,兴银高端制造A,混合型,混合型-偏股,2.65,5.47,16.57,14.39,16.69,1.01,455,234.0,95.53468761977769,254.0,95.15882127822424,79.3,
011766.OF,兴银高端制造C,混合型,混合型-偏股,2.63,5.42,16.47,14.38,16.72,1.01,455,237.0,95.47719432732848,256.0,95.12055109070036,79.3,
011800.OF,申万菱信价值精选A,混合型,混合型-偏股,1.31,1.71,16.01,18.49,13.9,0.76,455,748.0,85.68417018014564,280.0,94.66130884041333,77.2,
011239.OF,华安聚恒精选C,混合型,混合型-偏股,4.43,5.1,14.88,18.35,15.89,0.7,455,253.0,95.170563434266,362.0,93.09223115193264,73.2,
011238.OF,华安聚恒精选A,混合型,混合型-偏股,4.46,5.17,15.02,18.36,15.86,0.71,455,251.0,95.20889229589882,347.0,93.37925755836204,73.5,
011093.OF,永赢宏泽一年定开,灵活配置型,混合型-平衡,1.57,2.52,15.02,19.31,17.46,0.67,455,69.0,85.62367864693447,42.0,91.33192389006342,70.8,
